,District Number,Zip Codes,District,Campus Number,Campus,Region,County,School Type,Grades Served,Alternative Education Accountability,Charter,Number of Students,% Economically Disadvantaged,% EB/EL Students,Overall Rating,Overall Score,Student Achievement Rating,Student Achievement Score,School Progress Rating,School Progress Score,Academic Growth Rating,Academic Growth Score,Relative Performance Rating,Relative Performance Score,Closing the Gaps Rating,Closing the Gaps Score,Support Label,Public Education Grant,Distinction ELA/Reading,Distinction Mathematics,Distinction Science,Distinction Soc Studies,Distinction Progress,Distinction Closing the Gaps,Distinction Postsecondary Readiness,US Congress District,US Congress Election District,TX House District,TX House Election District,TX Senate District,TX Senate Election District,Campus Enrollment Type
119,20902,,ANGLETON ISD,,,REGION 04: HOUSTON,BRAZORIA,District,,No,No,"6,748",75.20%,15.40%,A,92,A,91,A,94,B,84,A,94,B,86,,,,,,,,,Earned,,,,,,,
120,20904,,DANBURY ISD,,,REGION 04: HOUSTON,BRAZORIA,District,,No,No,772,36.00%,5.40%,B,87,B,89,B,89,B,89,B,84,B,81,,,,,,,,,Not Earned,,,,,,,
121,20905,,BRAZOSPORT ISD,,,REGION 04: HOUSTON,BRAZORIA,District,,No,No,"11,451",71.70%,12.90%,B,89,B,82,A,91,B,80,A,91,B,85,,,,,,,,,Earned,,,,,,,
122,20906,,SWEENY ISD,,,REGION 04: HOUSTON,BRAZORIA,District,,No,No,"1,851",47.90%,2.90%,B,86,B,88,B,84,B,84,B,82,B,82,,,,,,,,,Not Earned,,,,,,,
123,20907,,COLUMBIA-BRAZORIA ISD,,,REGION 04: HOUSTON,BRAZORIA,District,,No,No,"2,911",62.50%,8.40%,B,84,B,85,B,87,C,79,B,87,C,77,,,,,,,,,Not Earned,,,,,,,
124,20908,,PEARLAND ISD,,,REGION 04: HOUSTON,BRAZORIA,District,,No,No,"20,930",32.90%,11.30%,A,94,A,93,A,92,A,92,A,91,A,96,,,,,,,,,Not Earned,,,,,,,
125,20910,,DAMON ISD,,,REGION 04: HOUSTON,BRAZORIA,District,,No,No,116,87.90%,13.80%,B,86,Not Rated: Senate Bill 1365,64,A,91,A,91,C,70,C,74,,,,,,,,,,,,,,,,
126,21803,,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,,,REGION 06: HUNTSVILLE,BRAZOS,District,,No,Yes,330,99.70%,32.10%,C,75,Not Rated: Senate Bill 1365,67,B,80,Not Rated: Senate Bill 1365,59,B,80,Not Rated: Senate Bill 1365,64,,,,,,,,,,,,,,,,
127,21805,,ARROW ACADEMY,,,REGION 06: HUNTSVILLE,BRAZOS,District,,No,Yes,609,76.50%,11.80%,A,90,C,78,A,93,A,93,B,88,B,82,,,,,,,,,Not Earned,,,,,,,
128,21901,,COLLEGE STATION ISD,,,REGION 06: HUNTSVILLE,BRAZOS,District,,No,No,"14,138",37.70%,9.50%,B,89,B,89,B,89,B,87,B,89,B,89,,,,,,,,,Not Earned,,,,,,,
129,21902,,BRYAN ISD,,,REGION 06: HUNTSVILLE,BRAZOS,District,,No,No,"16,005",79.30%,28.40%,B,86,C,79,A,90,Not Rated: Senate Bill 1365,69,A,90,C,76,,,,,,,,,Not Earned,,,,,,,
130,22004,,TERLINGUA CSD,,,REGION 18: MIDLAND,BREWSTER,District,,No,No,111,80.20%,47.70%,C,75,C,76,C,76,Not Rated: Senate Bill 1365,65,C,76,C,73,,,,,,,,,,,,,,,,
131,22901,,ALPINE ISD,,,REGION 18: MIDLAND,BREWSTER,District,,No,No,970,57.50%,7.20%,B,86,B,89,B,89,B,85,A,91,C,78,,,,,,,,,Not Earned,,,,,,,
132,22902,,MARATHON ISD,,,REGION 18: MIDLAND,BREWSTER,District,,No,No,57,70.20%,0.00%,A,90,C,72,A,90,A,90,C,79,Not Rated,        .,,,,,,,,,,,,,,,,
133,22903,,SAN VICENTE ISD,,,REGION 18: MIDLAND,BREWSTER,District,,No,No,9,0.00%,0.00%,A,94,A,94,B,82,Not Rated,        .,B,82,Not Rated,        .,,,,,,,,,,,,,,,,
134,23902,,SILVERTON ISD,,,REGION 16: AMARILLO,BRISCOE,District,,No,No,187,46.00%,6.40%,A,93,A,94,A,91,A,91,A,91,A,92,,,,,,,,,,,,,,,,
135,24901,,BROOKS COUNTY ISD,,,REGION 01: EDINBURG,BROOKS,District,,No,No,"1,340",92.80%,2.40%,B,87,B,80,A,91,B,89,A,91,C,77,,,,,,,,,Not Earned,,,,,,,
136,25901,,BANGS ISD,,,REGION 15: SAN ANGELO,BROWN,District,,No,No,869,65.10%,1.60%,B,89,B,89,A,90,B,80,A,90,B,86,,,,,,,,,Not Earned,,,,,,,
137,25902,,BROWNWOOD ISD,,,REGION 15: SAN ANGELO,BROWN,District,,No,No,"3,448",64.20%,3.40%,B,84,B,84,B,86,C,76,B,86,C,78,,,,,,,,,Not Earned,,,,,,,
138,25904,,BLANKET ISD,,,REGION 15: SAN ANGELO,BROWN,District,,No,No,147,59.90%,2.00%,C,75,C,76,C,72,Not Rated: Senate Bill 1365,68,C,72,C,74,,,,,,,,,,,,,,,,
139,25905,,MAY ISD,,,REGION 15: SAN ANGELO,BROWN,District,,No,No,227,50.70%,5.30%,A,90,A,92,A,94,B,84,A,94,B,82,,,,,,,,,Not Earned,,,,,,,
140,25906,,ZEPHYR ISD,,,REGION 15: SAN ANGELO,BROWN,District,,No,No,212,56.60%,0.90%,B,84,B,86,B,83,C,75,B,83,C,79,,,,,,,,,,,,,,,,
141,25908,,BROOKESMITH ISD,,,REGION 15: SAN ANGELO,BROWN,District,,No,No,191,69.10%,1.00%,A,91,B,89,A,94,B,82,A,94,B,83,,,,,,,,,Not Earned,,,,,,,
142,25909,,EARLY ISD,,,REGION 15: SAN ANGELO,BROWN,District,,No,No,"1,136",41.20%,1.70%,A,92,A,92,A,90,A,90,B,86,A,93,,,,,,,,,Not Earned,,,,,,,
143,26901,,CALDWELL ISD,,,REGION 06: HUNTSVILLE,BURLESON,District,,No,No,"1,833",58.30%,12.80%,A,90,B,88,A,91,A,91,B,88,B,87,,,,,,,,,Not Earned,,,,,,,
144,26902,,SOMERVILLE ISD,,,REGION 06: HUNTSVILLE,BURLESON,District,,No,No,541,72.60%,9.40%,B,85,B,82,B,89,Not Rated: Senate Bill 1365,59,B,89,C,75,,,,,,,,,Not Earned,,,,,,,
145,26903,,SNOOK ISD,,,REGION 06: HUNTSVILLE,BURLESON,District,,No,No,529,72.20%,14.90%,A,91,A,91,A,93,B,85,A,93,B,85,,,,,,,,,Not Earned,,,,,,,
146,27903,,BURNET CISD,,,REGION 13: AUSTIN,BURNET,District,,No,No,"3,262",52.90%,9.30%,B,82,B,83,B,80,Not Rated: Senate Bill 1365,65,B,80,B,81,,,,,,,,,Not Earned,,,,,,,
147,27904,,MARBLE FALLS ISD,,,REGION 13: AUSTIN,BURNET,District,,No,No,"3,995",67.60%,22.20%,B,81,C,79,B,80,C,73,B,80,B,82,,,,,,,,,Not Earned,,,,,,,
148,28902,,LOCKHART ISD,,,REGION 13: AUSTIN,CALDWELL,District,,No,No,"6,117",77.50%,32.90%,C,75,C,71,B,80,B,80,C,70,Not Rated: Senate Bill 1365,62,,,,,,,,,Not Earned,,,,,,,
149,28903,,LULING ISD,,,REGION 20: SAN ANTONIO,CALDWELL,District,,No,No,"1,425",73.30%,14.30%,B,81,C,76,B,84,B,84,B,81,C,74,,,,,,,,,Not Earned,,,,,,,
150,28906,,PRAIRIE LEA ISD,,,REGION 13: AUSTIN,CALDWELL,District,,No,No,235,79.10%,13.20%,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,30,,,,,,,,,,,,,,,,
151,29901,,CALHOUN COUNTY ISD,,,REGION 03: VICTORIA,CALHOUN,District,,No,No,"3,561",64.20%,13.80%,B,86,B,85,B,88,C,73,B,88,B,82,,,,,,,,,Not Earned,,,,,,,
152,30901,,CROSS PLAINS ISD,,,REGION 14: ABILENE,CALLAHAN,District,,No,No,378,68.00%,2.40%,A,93,A,91,A,92,B,84,A,92,A,96,,,,,,,,,Not Earned,,,,,,,
153,30902,,CLYDE CISD,,,REGION 14: ABILENE,CALLAHAN,District,,No,No,"1,431",44.00%,0.80%,B,89,A,92,A,92,A,91,A,92,B,83,,,,,,,,,Not Earned,,,,,,,
154,30903,,BAIRD ISD,,,REGION 14: ABILENE,CALLAHAN,District,,No,No,293,54.60%,0.00%,B,89,A,90,A,91,B,87,A,91,B,85,,,,,,,,,Not Earned,,,,,,,
155,30906,,EULA ISD,,,REGION 14: ABILENE,CALLAHAN,District,,No,No,462,42.20%,0.60%,A,93,A,94,A,94,A,92,A,94,B,89,,,,,,,,,Earned,,,,,,,
156,31901,,BROWNSVILLE ISD,,,REGION 01: EDINBURG,CAMERON,District,,No,No,"38,412",89.50%,38.00%,A,91,B,89,A,94,A,93,A,94,B,86,,,,,,,,,Earned,,,,,,,
157,31903,,HARLINGEN CISD,,,REGION 01: EDINBURG,CAMERON,District,,No,No,"17,022",77.00%,15.20%,B,89,B,84,A,91,A,90,A,91,B,83,,,,,,,,,Not Earned,,,,,,,
158,31905,,LA FERIA ISD,,,REGION 01: EDINBURG,CAMERON,District,,No,No,"2,908",85.80%,14.90%,B,88,B,80,A,90,A,90,B,85,B,83,,,,,,,,,Not Earned,,,,,,,
159,31906,,LOS FRESNOS CISD,,,REGION 01: EDINBURG,CAMERON,District,,No,No,"10,333",79.90%,22.00%,A,92,B,88,A,91,A,90,A,91,A,94,,,,,,,,,Earned,,,,,,,
160,31909,,POINT ISABEL ISD,,,REGION 01: EDINBURG,CAMERON,District,,No,No,"1,968",88.90%,39.90%,B,87,B,83,A,91,A,91,A,91,C,76,,,,,,,,,Not Earned,,,,,,,
161,31911,,RIO HONDO ISD,,,REGION 01: EDINBURG,CAMERON,District,,No,No,"1,602",87.60%,11.90%,B,83,C,72,A,90,A,90,C,73,Not Rated: Senate Bill 1365,68,,,,,,,,,Not Earned,,,,,,,
162,31912,,SAN BENITO CISD,,,REGION 01: EDINBURG,CAMERON,District,,No,No,"9,201",88.70%,25.80%,B,85,B,80,A,90,B,87,A,90,C,73,,,,,,,,,Not Earned,,,,,,,
163,31913,,SANTA MARIA ISD,,,REGION 01: EDINBURG,CAMERON,District,,No,No,543,99.60%,39.80%,B,85,C,73,B,89,B,89,B,80,C,75,,,,,,,,,Not Earned,,,,,,,
164,31914,,SANTA ROSA ISD,,,REGION 01: EDINBURG,CAMERON,District,,No,No,848,89.90%,19.90%,B,89,B,88,A,94,A,90,A,94,C,77,,,,,,,,,Not Earned,,,,,,,
165,31916,,SOUTH TEXAS ISD,,,REGION 01: EDINBURG,CAMERON,District,,No,No,"4,251",51.90%,11.00%,A,97,A,96,A,95,A,93,A,95,A,98,,,,,,,,,Earned,,,,,,,
166,32902,,PITTSBURG ISD,,,REGION 08: MT PLEASANT,CAMP,District,,No,No,"2,352",78.40%,19.40%,A,96,A,94,A,94,A,90,A,94,A,100,,,,,,,,,Earned,,,,,,,
167,33901,,GROOM ISD,,,REGION 16: AMARILLO,CARSON,District,,No,No,143,25.20%,1.40%,A,92,A,94,B,84,B,81,B,84,B,88,,,,,,,,,,,,,,,,
168,33902,,PANHANDLE ISD,,,REGION 16: AMARILLO,CARSON,District,,No,No,663,30.50%,1.70%,A,97,A,95,A,91,A,90,A,91,A,100,,,,,,,,,Earned,,,,,,,
169,33904,,WHITE DEER ISD,,,REGION 16: AMARILLO,CARSON,District,,No,No,339,48.70%,3.20%,B,88,A,90,B,89,B,82,A,91,B,82,,,,,,,,,Not Earned,,,,,,,
170,34901,,ATLANTA ISD,,,REGION 08: MT PLEASANT,CASS,District,,No,No,"1,906",67.80%,2.20%,B,89,B,89,A,90,B,80,A,90,B,85,,,,,,,,,Not Earned,,,,,,,
171,34902,,AVINGER ISD,,,REGION 08: MT PLEASANT,CASS,District,,No,No,137,78.80%,1.50%,B,87,B,87,A,90,C,78,A,90,B,81,,,,,,,,,,,,,,,,
172,34903,,HUGHES SPRINGS ISD,,,REGION 08: MT PLEASANT,CASS,District,,No,No,"1,146",54.50%,5.10%,A,90,A,91,A,91,A,90,A,91,B,86,,,,,,,,,Not Earned,,,,,,,
173,34905,,LINDEN-KILDARE CISD,,,REGION 08: MT PLEASANT,CASS,District,,No,No,638,68.70%,5.80%,B,89,B,89,A,92,B,85,A,92,B,83,,,,,,,,,Not Earned,,,,,,,
174,34906,,MCLEOD ISD,,,REGION 08: MT PLEASANT,CASS,District,,No,No,399,54.90%,0.00%,A,92,A,90,A,90,C,73,A,90,A,96,,,,,,,,,Not Earned,,,,,,,
175,34907,,QUEEN CITY ISD,,,REGION 08: MT PLEASANT,CASS,District,,No,No,933,63.50%,0.30%,A,90,A,91,A,93,B,85,A,93,B,82,,,,,,,,,Earned,,,,,,,
176,34909,,BLOOMBURG ISD,,,REGION 08: MT PLEASANT,CASS,District,,No,No,240,79.60%,2.10%,A,92,A,91,A,93,B,88,A,93,B,89,,,,,,,,,,,,,,,,
177,35901,,DIMMITT ISD,,,REGION 16: AMARILLO,CASTRO,District,,No,No,"1,153",87.20%,24.80%,B,82,C,74,B,85,B,85,C,79,C,76,,,,,,,,,Not Earned,,,,,,,
178,35902,,HART ISD,,,REGION 16: AMARILLO,CASTRO,District,,No,No,209,86.10%,25.80%,B,81,C,72,B,82,B,82,C,75,B,80,,,,,,,,,,,,,,,,
179,35903,,NAZARETH ISD,,,REGION 16: AMARILLO,CASTRO,District,,No,No,250,19.20%,0.40%,A,98,A,97,A,95,A,95,A,91,A,100,,,,,,,,,,,,,,,,
180,36901,,ANAHUAC ISD,,,REGION 04: HOUSTON,CHAMBERS,District,,No,No,"1,389",56.80%,7.50%,A,90,B,89,A,92,B,89,A,92,B,85,,,,,,,,,Not Earned,,,,,,,
181,36902,,BARBERS HILL ISD,,,REGION 04: HOUSTON,CHAMBERS,District,,No,No,"6,796",26.50%,4.30%,A,95,A,93,A,91,A,91,A,91,A,98,,,,,,,,,Earned,,,,,,,
182,36903,,EAST CHAMBERS ISD,,,REGION 05: BEAUMONT,CHAMBERS,District,,No,No,"1,540",64.50%,27.90%,B,89,B,89,A,90,Not Rated: Senate Bill 1365,65,A,90,B,88,,,,,,,,,Not Earned,,,,,,,
183,37901,,ALTO ISD,,,REGION 07: KILGORE,CHEROKEE,District,,No,No,556,75.20%,20.70%,B,89,A,90,A,92,B,82,A,92,B,83,,,,,,,,,Not Earned,,,,,,,
184,37904,,JACKSONVILLE ISD,,,REGION 07: KILGORE,CHEROKEE,District,,No,No,"4,735",82.80%,32.80%,B,86,B,81,A,90,C,70,A,90,C,78,,,,,,,,,Not Earned,,,,,,,
185,37907,,RUSK ISD,,,REGION 07: KILGORE,CHEROKEE,District,,No,No,"2,001",70.90%,7.90%,C,79,B,80,B,80,Not Rated: Senate Bill 1365,69,B,80,C,75,,,,,,,,,Not Earned,,,,,,,
186,37908,,NEW SUMMERFIELD ISD,,,REGION 07: KILGORE,CHEROKEE,District,,No,No,538,86.80%,48.30%,B,88,B,87,A,90,B,80,A,90,B,83,,,,,,,,,,,,,,,,
187,37909,,WELLS ISD,,,REGION 07: KILGORE,CHEROKEE,District,,No,No,258,68.60%,4.30%,B,87,B,87,A,91,Not Rated: Senate Bill 1365,62,A,91,C,77,,,,,,,,,,,,,,,,
188,38901,,CHILDRESS ISD,,,REGION 16: AMARILLO,CHILDRESS,District,,No,No,"1,013",53.70%,3.50%,A,90,A,90,A,90,B,82,A,90,B,89,,,,,,,,,Not Earned,,,,,,,
189,39902,,HENRIETTA ISD,,,REGION 09: WICHITA FALLS,CLAY,District,,No,No,942,30.80%,0.40%,B,86,B,89,B,83,C,73,B,83,C,78,,,,,,,,,Not Earned,,,,,,,
190,39903,,PETROLIA CISD,,,REGION 09: WICHITA FALLS,CLAY,District,,No,No,461,46.20%,0.90%,B,84,B,85,B,80,C,73,B,80,B,81,,,,,,,,,Not Earned,,,,,,,
191,39904,,BELLEVUE ISD,,,REGION 09: WICHITA FALLS,CLAY,District,,No,No,151,54.30%,1.30%,C,75,C,77,C,73,C,73,C,70,C,71,,,,,,,,,,,,,,,,
192,39905,,MIDWAY ISD,,,REGION 09: WICHITA FALLS,CLAY,District,,No,No,131,63.40%,3.10%,B,86,B,87,B,84,Not Rated: Senate Bill 1365,69,B,84,B,83,,,,,,,,,,,,,,,,
193,40901,,MORTON ISD,,,REGION 17: LUBBOCK,COCHRAN,District,,No,No,360,80.30%,22.50%,B,82,C,79,B,85,C,78,B,85,C,75,,,,,,,,,,,,,,,,
194,40902,,WHITEFACE CISD,,,REGION 17: LUBBOCK,COCHRAN,District,,No,No,313,57.20%,10.50%,B,84,B,86,B,86,C,76,B,86,B,80,,,,,,,,,,,,,,,,
195,41901,,BRONTE ISD,,,REGION 15: SAN ANGELO,COKE,District,,No,No,238,50.00%,1.70%,A,91,A,92,A,91,B,89,A,91,B,87,,,,,,,,,,,,,,,,
196,41902,,ROBERT LEE ISD,,,REGION 15: SAN ANGELO,COKE,District,,No,No,262,62.20%,1.10%,B,87,B,88,A,90,B,80,A,90,B,80,,,,,,,,,Not Earned,,,,,,,
197,42901,,COLEMAN ISD,,,REGION 15: SAN ANGELO,COLEMAN,District,,No,No,800,59.60%,2.00%,B,84,B,80,B,86,B,80,B,86,C,78,,,,,,,,,Not Earned,,,,,,,
198,42903,,SANTA ANNA ISD,,,REGION 15: SAN ANGELO,COLEMAN,District,,No,No,253,100.00%,0.40%,A,90,A,91,A,94,A,90,A,94,B,82,,,,,,,,,Earned,,,,,,,
199,42905,,PANTHER CREEK CISD,,,REGION 15: SAN ANGELO,COLEMAN,District,,No,No,165,73.90%,0.60%,B,87,B,88,A,91,C,76,A,91,C,77,,,,,,,,,,,,,,,,
200,43801,,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,,,REGION 10: RICHARDSON,COLLIN,District,,No,Yes,"1,386",9.00%,10.10%,A,98,A,97,A,91,A,91,B,86,A,100,,,,,,,,,,,,,,,,
201,43802,,LONE STAR LANGUAGE ACADEMY,,,REGION 10: RICHARDSON,COLLIN,District,,No,Yes,146,2.10%,9.60%,A,98,A,92,A,97,A,97,Not Rated: Senate Bill 1365,69,A,100,,,,,,,,,,,,,,,,
202,43901,,ALLEN ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"21,420",16.80%,9.50%,A,94,B,89,A,92,A,92,B,85,A,99,,,,,,,,,Not Earned,,,,,,,
203,43902,,ANNA ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"4,436",50.50%,13.20%,B,86,B,84,B,88,B,80,B,88,B,81,,,,,,,,,Not Earned,,,,,,,
204,43903,,CELINA ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"3,351",14.60%,8.10%,A,93,A,92,B,89,A,90,C,75,A,96,,,,,,,,,Not Earned,,,,,,,
205,43904,,FARMERSVILLE ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"2,018",53.40%,14.70%,B,89,A,92,A,92,B,87,A,92,B,81,,,,,,,,,Not Earned,,,,,,,
206,43905,,FRISCO ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"65,617",12.80%,8.90%,A,95,A,94,A,92,A,92,B,82,A,96,,,,,,,,,Not Earned,,,,,,,
207,43907,,MCKINNEY ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"23,238",31.30%,13.00%,B,89,B,89,B,87,B,87,B,85,B,89,,,,,,,,,Not Earned,,,,,,,
208,43908,,MELISSA ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"4,859",14.80%,7.00%,A,95,A,93,B,89,B,89,C,73,A,98,,,,,,,,,Not Earned,,,,,,,
209,43910,,PLANO ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"49,241",34.60%,20.70%,B,89,B,89,B,89,A,91,B,89,B,88,,,,,,,,,Not Earned,,,,,,,
210,43911,,PRINCETON ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"6,765",50.90%,19.80%,A,93,A,90,A,92,B,87,A,92,A,94,,,,,,,,,Not Earned,,,,,,,
211,43912,,PROSPER ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"21,700",8.40%,6.90%,A,94,A,93,A,90,A,90,C,76,A,96,,,,,,,,,Not Earned,,,,,,,
212,43914,,WYLIE ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"18,155",28.10%,12.90%,A,96,A,94,A,92,A,92,A,91,A,99,,,,,,,,,Earned,,,,,,,
213,43917,,BLUE RIDGE ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,958,41.60%,8.10%,B,87,B,89,B,88,Not Rated: Senate Bill 1365,65,B,88,B,81,,,,,,,,,Not Earned,,,,,,,
214,43918,,COMMUNITY ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"3,335",49.90%,22.50%,B,86,B,88,B,89,C,73,A,92,C,79,,,,,,,,,Not Earned,,,,,,,
215,43919,,LOVEJOY ISD,,,REGION 10: RICHARDSON,COLLIN,District,,No,No,"4,335",4.30%,1.20%,A,99,A,98,A,93,A,93,A,91,A,100,,,,,,,,,Earned,,,,,,,
216,44902,,WELLINGTON ISD,,,REGION 16: AMARILLO,COLLINGSWORTH,District,,No,No,542,56.60%,7.70%,B,87,B,87,B,87,B,87,B,86,B,87,,,,,,,,,Not Earned,,,,,,,
217,45902,,COLUMBUS ISD,,,REGION 04: HOUSTON,COLORADO,District,,No,No,"1,555",55.20%,15.60%,B,87,B,86,A,90,B,85,A,90,B,80,,,,,,,,,Not Earned,,,,,,,
218,45903,,RICE CISD,,,REGION 03: VICTORIA,COLORADO,District,,No,No,"1,272",75.40%,9.00%,B,87,B,84,A,90,C,73,A,90,B,80,,,,,,,,,Not Earned,,,,,,,
219,45905,,WEIMAR ISD,,,REGION 03: VICTORIA,COLORADO,District,,No,No,684,55.80%,17.70%,A,96,A,95,A,94,B,89,A,94,A,97,,,,,,,,,Earned,,,,,,,
220,46802,,TRINITY CHARTER SCHOOL,,,REGION 20: SAN ANTONIO,COMAL,District,,Yes,Yes,347,100.00%,5.50%,B,80,C,75,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,,,,,,,
221,46901,,NEW BRAUNFELS ISD,,,REGION 20: SAN ANTONIO,COMAL,District,,No,No,"9,638",36.50%,9.10%,B,86,B,86,C,79,C,79,C,78,B,85,,,,,,,,,Not Earned,,,,,,,
222,46902,,COMAL ISD,,,REGION 20: SAN ANTONIO,COMAL,District,,No,No,"27,190",29.80%,5.50%,A,93,A,92,A,90,A,90,B,84,A,95,,,,,,,,,Not Earned,,,,,,,
223,47901,,COMANCHE ISD,,,REGION 14: ABILENE,COMANCHE,District,,No,No,"1,303",61.10%,15.30%,A,91,A,91,A,92,B,89,A,92,B,88,,,,,,,,,Not Earned,,,,,,,
224,47902,,DE LEON ISD,,,REGION 14: ABILENE,COMANCHE,District,,No,No,740,54.20%,6.20%,A,91,A,91,A,91,B,85,A,91,A,90,,,,,,,,,Not Earned,,,,,,,
225,47903,,GUSTINE ISD,,,REGION 14: ABILENE,COMANCHE,District,,No,No,145,72.40%,34.50%,A,95,A,91,A,93,C,79,A,93,A,100,,,,,,,,,,,,,,,,
226,47905,,SIDNEY ISD,,,REGION 14: ABILENE,COMANCHE,District,,No,No,128,63.30%,0.00%,B,89,A,92,A,93,B,86,A,93,C,79,,,,,,,,,,,,,,,,
227,48901,,EDEN CISD,,,REGION 15: SAN ANGELO,CONCHO,District,,No,No,222,62.60%,5.40%,B,83,B,84,B,83,C,70,B,83,C,79,,,,,,,,,Not Earned,,,,,,,
228,48903,,PAINT ROCK ISD,,,REGION 15: SAN ANGELO,CONCHO,District,,No,No,225,68.90%,5.80%,B,80,B,80,B,81,C,79,B,81,C,78,,,,,,,,,Not Earned,,,,,,,
229,49901,,GAINESVILLE ISD,,,REGION 11: FORT WORTH,COOKE,District,,No,No,"3,138",62.70%,28.20%,B,84,B,82,B,89,Not Rated: Senate Bill 1365,69,B,89,C,73,,,,,,,,,Not Earned,,,,,,,
230,49902,,MUENSTER ISD,,,REGION 11: FORT WORTH,COOKE,District,,No,No,523,16.80%,1.00%,A,97,A,95,A,92,A,92,A,90,A,100,,,,,,,,,Earned,,,,,,,
231,49903,,VALLEY VIEW ISD,,,REGION 11: FORT WORTH,COOKE,District,,No,No,941,52.40%,15.60%,B,84,B,86,B,87,B,82,B,87,C,76,,,,,,,,,Not Earned,,,,,,,
232,49905,,CALLISBURG ISD,,,REGION 11: FORT WORTH,COOKE,District,,No,No,"1,140",35.50%,2.90%,B,88,B,89,B,84,B,84,C,78,B,85,,,,,,,,,Not Earned,,,,,,,
233,49906,,ERA ISD,,,REGION 11: FORT WORTH,COOKE,District,,No,No,493,33.50%,1.80%,B,89,A,91,B,86,B,86,B,83,B,85,,,,,,,,,,,,,,,,
234,49907,,LINDSAY ISD,,,REGION 11: FORT WORTH,COOKE,District,,No,No,482,14.70%,0.20%,A,96,A,94,A,92,A,92,B,83,A,100,,,,,,,,,Not Earned,,,,,,,
235,49908,,WALNUT BEND ISD,,,REGION 11: FORT WORTH,COOKE,District,,No,No,56,89.30%,7.10%,A,92,Not Rated: Senate Bill 1365,62,A,92,A,92,Not Rated: Senate Bill 1365,69,Not Rated,        .,,,,,,,,,,,,,,,,
236,49909,,SIVELLS BEND ISD,,,REGION 11: FORT WORTH,COOKE,District,,No,No,63,74.60%,0.00%,C,76,C,74,B,80,C,70,B,80,Not Rated: Senate Bill 1365,65,,,,,,,,,,,,,,,,
237,50901,,EVANT ISD,,,REGION 12: WACO,CORYELL,District,,No,No,213,63.80%,12.70%,Not Rated: Senate Bill 1365,62,C,72,C,70,Not Rated: Senate Bill 1365,65,C,70,Not Rated: Senate Bill 1365,38,,,,,,,,,Not Earned,,,,,,,
238,50902,,GATESVILLE ISD,,,REGION 12: WACO,CORYELL,District,,No,No,"2,689",58.50%,4.90%,B,86,B,87,B,89,B,80,B,89,B,80,,,,,,,,,Not Earned,,,,,,,
239,50904,,OGLESBY ISD,,,REGION 12: WACO,CORYELL,District,,No,No,198,57.10%,5.10%,B,86,B,86,B,89,B,89,B,83,C,79,,,,,,,,,,,,,,,,
240,50909,,JONESBORO ISD,,,REGION 12: WACO,CORYELL,District,,No,No,338,45.30%,0.00%,C,77,C,78,B,81,B,81,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,66,,,,,,,,,,,,,,,,
241,50910,,COPPERAS COVE ISD,,,REGION 12: WACO,CORYELL,District,,No,No,"8,102",63.20%,5.70%,B,87,B,85,A,90,C,76,A,90,B,80,,,,,,,,,Not Earned,,,,,,,
242,51901,,PADUCAH ISD,,,REGION 17: LUBBOCK,COTTLE,District,,No,No,161,72.00%,0.00%,B,86,B,87,A,90,C,79,A,90,C,77,,,,,,,,,,,,,,,,
243,52901,,CRANE ISD,,,REGION 15: SAN ANGELO,CRANE,District,,No,No,"1,151",42.10%,21.70%,B,85,C,74,A,90,A,90,Not Rated: Senate Bill 1365,60,C,72,,,,,,,,,Not Earned,,,,,,,
244,53001,,CROCKETT COUNTY CONSOLIDATED CSD,,,REGION 15: SAN ANGELO,CROCKETT,District,,No,No,729,65.80%,15.90%,A,93,A,91,A,92,A,90,A,92,A,95,,,,,,,,,Not Earned,,,,,,,
245,54901,,CROSBYTON CISD,,,REGION 17: LUBBOCK,CROSBY,District,,No,No,329,77.80%,1.50%,B,85,B,83,B,89,C,76,A,93,C,76,,,,,,,,,Not Earned,,,,,,,
